entity_id,friendly_name,domain,platform,device_name,manufacturer,model,area,disabled,hidden
sensor.spencer_guest,,sensor,unifi,Spencer - guest,Ubiquiti Networks,UniFi WLAN,,,
sensor.spencer_iot,,sensor,unifi,Spencer IoT,Ubiquiti Networks,UniFi WLAN,,,
sensor.spotify_connect_cpu_percent,CPU percent,sensor,hassio,Spotify Connect,Home Assistant Community Add-ons,Home Assistant Add-on,,integration,
sensor.spotify_connect_memory_percent,Memory percent,sensor,hassio,Spotify Connect,Home Assistant Community Add-ons,Home Assistant Add-on,,integration,
sensor.spotify_connect_newest_version,Newest version,sensor,hassio,Spotify Connect,Home Assistant Community Add-ons,Home Assistant Add-on,,integration,
sensor.spotify_connect_version,Version,sensor,hassio,Spotify Connect,Home Assistant Community Add-ons,Home Assistant Add-on,,integration,
sensor.studio_code_server_cpu_percent,CPU percent,sensor,hassio,Studio Code Server,Home Assistant Community Add-ons,Home Assistant Add-on,,integration,
sensor.studio_code_server_memory_percent,Memory percent,sensor,hassio,Studio Code Server,Home Assistant Community Add-ons,Home Assistant Add-on,,integration,
sensor.studio_code_server_newest_version,Newest version,sensor,hassio,Studio Code Server,Home Assistant Community Add-ons,Home Assistant Add-on,,integration,
sensor.studio_code_server_version,Version,sensor,hassio,Studio Code Server,Home Assistant Community Add-ons,Home Assistant Add-on,,integration,
sensor.sun_next_dawn,Next dawn,sensor,sun,Sun,,,,,
sensor.sun_next_dusk,Next dusk,sensor,sun,Sun,,,,,
sensor.sun_next_midnight,Next midnight,sensor,sun,Sun,,,,,
sensor.sun_next_noon,Next noon,sensor,sun,Sun,,,,,
sensor.sun_next_rising,Next rising,sensor,sun,Sun,,,,,
sensor.sun_next_setting,Next setting,sensor,sun,Sun,,,,,
sensor.sun_solar_azimuth,Solar azimuth,sensor,sun,Sun,,,,integration,
sensor.sun_solar_elevation,Solar elevation,sensor,sun,Sun,,,,integration,
sensor.third_party_camera_link_speed,Link speed,sensor,unifi,Third Party Camera,Ubiquiti,Third Party Camera,,integration,
sensor.third_reality_inc_3rcb01057z_lqi,LQI,sensor,zha,Garage South Lift Master Garage Door Opener West Light,Third Reality; Inc,3RCB01057Z,Garage,integration,
sensor.third_reality_inc_3rcb01057z_lqi_2,LQI,sensor,zha,Garage North Lift Master Garage Door Opener East Light,Third Reality; Inc,3RCB01057Z,Garage,integration,
sensor.third_reality_inc_3rcb01057z_lqi_3,LQI,sensor,zha,Garage South Lift Master Garage Door Opener East Light,Third Reality; Inc,3RCB01057Z,Garage,integration,
sensor.third_reality_inc_3rcb01057z_lqi_4,LQI,sensor,zha,Garage North Lift Master Garage Door Opener West Light,Third Reality; Inc,3RCB01057Z,Garage,integration,
sensor.third_reality_inc_3rcb01057z_rssi,RSSI,sensor,zha,Garage South Lift Master Garage Door Opener West Light,Third Reality; Inc,3RCB01057Z,Garage,integration,
sensor.third_reality_inc_3rcb01057z_rssi_2,RSSI,sensor,zha,Garage North Lift Master Garage Door Opener East Light,Third Reality; Inc,3RCB01057Z,Garage,integration,
sensor.third_reality_inc_3rcb01057z_rssi_3,RSSI,sensor,zha,Garage South Lift Master Garage Door Opener East Light,Third Reality; Inc,3RCB01057Z,Garage,integration,
sensor.third_reality_inc_3rcb01057z_rssi_4,RSSI,sensor,zha,Garage North Lift Master Garage Door Opener West Light,Third Reality; Inc,3RCB01057Z,Garage,integration,
sensor.third_reality_inc_3rdp01072z_lqi,LQI,sensor,zha,Living_Room_Dual_Smart_Plug,Third Reality; Inc,3RDP01072Z,Living Room,integration,
sensor.third_reality_inc_3rdp01072z_lqi_2,LQI,sensor,zha,Kitchen_Lounge_TV_Dual_Smart_Plug,Third Reality; Inc,3RDP01072Z,Kitchen Lounge,integration,
sensor.third_reality_inc_3rdp01072z_lqi_3,LQI,sensor,zha,2nd_Floor_Bathroom_Dual_Smart_Plug,Third Reality; Inc,3RDP01072Z,2nd Floor Bathroom,integration,
sensor.third_reality_inc_3rdp01072z_rssi,RSSI,sensor,zha,Living_Room_Dual_Smart_Plug,Third Reality; Inc,3RDP01072Z,Living Room,integration,
sensor.third_reality_inc_3rdp01072z_rssi_2,RSSI,sensor,zha,Kitchen_Lounge_TV_Dual_Smart_Plug,Third Reality; Inc,3RDP01072Z,Kitchen Lounge,integration,
sensor.third_reality_inc_3rdp01072z_rssi_3,RSSI,sensor,zha,2nd_Floor_Bathroom_Dual_Smart_Plug,Third Reality; Inc,3RDP01072Z,2nd Floor Bathroom,integration,
sensor.third_reality_inc_3rsnl02043z_lqi,LQI,sensor,zha,Garage South Wall Motion; Light;  Sensor,Third Reality; Inc,3RSNL02043Z,Garage,integration,
sensor.third_reality_inc_3rsnl02043z_lqi_10,LQI,sensor,zha,Basement_Third Reality_Nightlight Motion Night Light,Third Reality; Inc,3RSNL02043Z,Basement,integration,
sensor.third_reality_inc_3rsnl02043z_lqi_11,LQI,sensor,zha,Entry_Room_West_Wall_Nightlight,Third Reality; Inc,3RSNL02043Z,Entry Room,integration,
sensor.third_reality_inc_3rsnl02043z_lqi_12,LQI,sensor,zha,Garage_North_Wall_Nightlight,Third Reality; Inc,3RSNL02043Z,Garage,integration,
sensor.third_reality_inc_3rsnl02043z_lqi_2,LQI,sensor,zha,Stairwell_Night_Light,Third Reality; Inc,3RSNL02043Z,Stairway Cubby,integration,
