entity_id,friendly_name,sensor_type,platform,manufacturer,area,has_area,disabled,notes
sensor.aqara_motion_sensor_p1_battery_voltage_3,Battery voltage,motion,matter,Aqara,Kitchen,YES,,
sensor.aqara_motion_sensor_p1_battery_voltage_4,Battery voltage,motion,matter,Aqara,Basement Hallway,YES,,
sensor.aqara_motion_sensor_p1_battery_voltage_5,Battery voltage,motion,matter,Aqara,Very Front Door Hallway,YES,,
sensor.aqara_motion_sensor_p1_battery_voltage_6,Battery voltage,motion,matter,Aqara,Kitchen,YES,,
sensor.aqara_retrofit_valves_t1_battery,Battery,battery,matter,Aqara,Basement,YES,,
sensor.aqara_retrofit_valves_t1_battery_type,Battery type,battery,matter,Aqara,Basement,YES,,
sensor.aqara_retrofit_valves_t1_battery_voltage,Battery voltage,battery,matter,Aqara,Basement,YES,,
sensor.aqara_temp_humidity_sensor_battery,Battery,humidity,matter,Aqara,1st Floor Bathroom,YES,,
sensor.aqara_temp_humidity_sensor_battery_2,Battery,humidity,matter,Aqara,Basement,YES,,
sensor.aqara_temp_humidity_sensor_battery_3,Battery,humidity,matter,Aqara,,MISSING,,Aqara sensor - assign area
sensor.aqara_temp_humidity_sensor_battery_4,Battery,humidity,matter,Aqara,2nd Floor Bathroom,YES,,
sensor.aqara_temp_humidity_sensor_battery_5,Battery,humidity,matter,Aqara,Ella's Bedroom,YES,,
sensor.aqara_temp_humidity_sensor_battery_6,Battery,humidity,matter,Aqara,Alaina's Bedroom,YES,,
sensor.aqara_temp_humidity_sensor_battery_7,Battery,humidity,matter,Aqara,,MISSING,,Aqara sensor - assign area
sensor.aqara_temp_humidity_sensor_battery_type,Battery type,humidity,matter,Aqara,1st Floor Bathroom,YES,,
sensor.aqara_temp_humidity_sensor_battery_type_2,Battery type,humidity,matter,Aqara,Basement,YES,,
sensor.aqara_temp_humidity_sensor_battery_type_3,Battery type,humidity,matter,Aqara,,MISSING,,Aqara sensor - assign area
sensor.aqara_temp_humidity_sensor_battery_type_4,Battery type,humidity,matter,Aqara,2nd Floor Bathroom,YES,,
