device_id,device_name,manufacturer,model,area,via_device,connections,disabled
86deb308af2fc138c0077cb7aae706d2,,Amazon Technologies Inc.,,,,[['mac'; 'f8:fc:e1:d2:94:e3']],
c31c4955db6f3b346e7e12cba268cf69,PFP - Echo Link,Amazon Technologies Inc.,,,,[['mac'; 'b0:fc:0d:a3:b8:63']],
a260ac2029958a1d9718ca72cc19b793,Claude conversation,Anthropic,claude-3-5-haiku-latest,,,[],
206b684a0addbef9b6096b8982179b21,Alaina's iPhone 17,Apple,iPhone18;1,,,[],
7f0f4e2bf7e88cb7dfd403ac4971d026,Ella’s iPhone,Apple,iPhone18;1,,,[],
f08baea549b3671a8b357261a6e6ef90,Garage_North_Door_Aqara_Door_Sensor,Aqara,Aqara Door and Window Sensor,Garage,b81c348ea93e5f63517c945384742b5e,[],
ecacddc705fc405f893d2ecc24d10997,Entry_Room_Front_Driveway_Door_Aqara_Contact_Sensor,Aqara,Aqara Door and Window Sensor,Entry Room,b81c348ea93e5f63517c945384742b5e,[],
ff20685381e529234927cf772cb8d393,Garage_South_Door_Aqara_Door_Sensor,Aqara,Aqara Door and Window Sensor,Garage,b81c348ea93e5f63517c945384742b5e,[],
4ccb6fee8a8d915b279521fe7d59663e,Back_Door_Aqara_Door_Sensor,Aqara,Aqara Door and Window Sensor,Entry Room,b81c348ea93e5f63517c945384742b5e,[],
6157c70083314e1f5d2ad1f28cf5dc09,Garage/Entry_Room_Walk-in_Door_Aqara_Door_Sensor,Aqara,Aqara Door and Window Sensor,Entry Room,b81c348ea93e5f63517c945384742b5e,[],
97d534ba962aecadd985df8327a967e6,Very_Front_Door_Aqara_Door_Sensor,Aqara,Aqara Door and Window Sensor,Very Front Door,b81c348ea93e5f63517c945384742b5e,[],
b81c348ea93e5f63517c945384742b5e,Aqara_Hub_M3,Aqara,Aqara Hub M3,Entry Room,,[],
1b2c2bd9867974558b8a821fa9013684,Kitchen_Under_Cabinet_Aqara_T1_LED_Strip,Aqara,Aqara LED Strip T1,Kitchen,b81c348ea93e5f63517c945384742b5e,[],
03b41366912159a1ce8200049821284a,Master_Bedroom_Behind_TV_Aqara_T1_LED_Strip,Aqara,Aqara LED Strip T1,Master Bedroom,b81c348ea93e5f63517c945384742b5e,[],
37a3cc1edcb4c0ad5aaafc13953dbdf4,Entry_Room_Aqara_Motion_Sensor,Aqara,Aqara Motion Sensor P1,Entry Room,b81c348ea93e5f63517c945384742b5e,[],
d4581352a42f1da266fb3bad298f1636,Kitchen_Aqara_Motion_Sensor_P1,Aqara,Aqara Motion Sensor P1,Kitchen,b81c348ea93e5f63517c945384742b5e,[],
939adeff2438f2af2eec19c07b3bcf86,Upstairs_Hallway_Aqara_Motion_Sensor,Aqara,Aqara Motion Sensor P1,Upstairs Hallway,b81c348ea93e5f63517c945384742b5e,[],
c1bb3eb022403b7630feb44c67086e11,West Kitchen Sensor Motion Sensor,Aqara,Aqara Motion Sensor P1,Kitchen,b81c348ea93e5f63517c945384742b5e,[],
0dd7b20e19a58f57c7ca5590ecd11d62,Basement Hallway Motion Sensor,Aqara,Aqara Motion Sensor P1,Basement Hallway,b81c348ea93e5f63517c945384742b5e,[],
901e88f32f15b375319ac1b695d6c073,Very Front Door Motion Sensor,Aqara,Aqara Motion Sensor P1,Very Front Door Hallway,b81c348ea93e5f63517c945384742b5e,[],
370641ef5c9cd926ce213e83b950e537,Basement_Domestic_Water_Main_Valve_Aqara_T1_Valve_Control,Aqara,Aqara Retrofit Valves T1,Basement,b81c348ea93e5f63517c945384742b5e,[],
d79682e55b9cb7380d5d1af21b99fa35,Basement_Boiler_Room_Navien_Combi_Boiler_Aqara_Smart_Plug,Aqara,Aqara Smart Plug US,Boiler Room,b81c348ea93e5f63517c945384742b5e,[],
d2c8667e549d6a2a3b26608ee6061e46,Aqara Temp/Humidity Sensor,Aqara,Aqara Temp/Humidity Sensor,,b81c348ea93e5f63517c945384742b5e,[],
da34f21880fdcda1c028ea037e1cf97f,Upstairs_Bathroom_Temp_and_Humidity_Sensor,Aqara,Aqara Temp/Humidity Sensor,2nd Floor Bathroom,b81c348ea93e5f63517c945384742b5e,[],
d511da690bfe350c42ffdc3d3dbb1382,Ella's_Bedroom_Aqara_Temp/Humidity_Sensor,Aqara,Aqara Temp/Humidity Sensor,Ella's Bedroom,b81c348ea93e5f63517c945384742b5e,[],
3682ae0c33f0b97fdedbd8897ded056c,Basement_Aqara_Temp/Humidity_Sensor,Aqara,Aqara Temp/Humidity Sensor,Basement,b81c348ea93e5f63517c945384742b5e,[],
bcf410256fbdcd92b79b3f9b68016f68,Alaina's_Bedroom_Aqara_Temp/Humidity_Sensor,Aqara,Aqara Temp/Humidity Sensor,Alaina's Bedroom,b81c348ea93e5f63517c945384742b5e,[],
cacc6406e09441d804c41e54a7498b72,1st_Floor_Bathroom_Aqara_Temp/Humidity_Sensor,Aqara,Aqara Temp/Humidity Sensor,1st Floor Bathroom,b81c348ea93e5f63517c945384742b5e,[],
9c25d9931a0060cbf0e820820feceb82,Aqara Temp/Humidity Sensor,Aqara,Aqara Temp/Humidity Sensor,,b81c348ea93e5f63517c945384742b5e,[],
01ce0093ccb5a816c26606b1b9cbb05f,Basement_North_Wall_Floor_Aqara_Water_Sensor,Aqara,Aqara Water Leak Sensor,Basement,b81c348ea93e5f63517c945384742b5e,[],
0dbb34a887aa5fcaf96cc7fab8b33747,Kitchen_Under_Sink_Aqara_Water_Sensor,Aqara,Aqara Water Leak Sensor,Kitchen,b81c348ea93e5f63517c945384742b5e,[],
aca9909300d57a1d773dbdaa9799ab4e,Kitchen_Under_Dishwasher_Aqara_Water_Sensor,Aqara,Aqara Water Leak Sensor,Kitchen,b81c348ea93e5f63517c945384742b5e,[],
6eb3e03a8d1ad87466ade5b3d90e34e0,Basement_Chimney_Floor_Aqara_Water_Sensor,Aqara,Aqara Water Leak Sensor,Basement,b81c348ea93e5f63517c945384742b5e,[],
4b4d570366daf930d5592dc1f9f91dfc,Kitchen_Under_Refrigerator_Floor_Aqara_Water_Sensor,Aqara,Aqara Water Leak Sensor,Kitchen,b81c348ea93e5f63517c945384742b5e,[],
6e3e9abb5dd20b95e4926c6c61980d7c,Bubble Card,Clooos,plugin,,,[],
1979794340be3104d589bd432adfb0b8,Cloudflared,Cloudflared,Home Assistant Add-on,,,[],
02f6860e38e3d438985e43e984bf4290,Mushroom Dashboard Strategy,DigiLive,plugin,,,[],
a2ffe91f6ff0665a3d1caeb27361342d,M - Kitchen Next Hub,Google Inc.,Google Nest Hub,,,[],user
5a067242b8ea7c45e3c1d4d76a971291,Nest Hub Max,Google Inc.,Google Nest Hub Max,Kitchen,,[],
e9b3c3831f7fb27bbec518b49aa2c75b,1st Floor Nest Thermostat,Google Nest,Thermostat,Entry Room,,[],
7ad0cacd3f14c335862099a98787b278,2nd Floor Nest Thermostat,Google Nest,Thermostat,Master Bedroom,,[],
04121982887bbb8783228721d3323472,Basement Nest Thermostat,Google Nest,Thermostat,Laundry Area,,[],
431724d80c1c421e86e8a9396d3db516,Garage Nest Thermostat,Google Nest,Thermostat,Garage,,[],
e30573486e96d2fc49de3e9bf881b85e,PFP West,Google Nest,Thermostat,Pigeon Falls Properties,,[],
79c0b38e8d4728a2a260b8ca55a73da4,PFP East,Google Nest,Thermostat,Pigeon Falls Properties,,[],
35b53ef3475490708c6a8fef7eb42ffb,Get HACS,HACS Add-ons Repository,Home Assistant Add-on,,,[],
d19f168d0b5f660b2120d909306b8fbc,Backup,Home Assistant,Home Assistant Backup,,,[],
a6674c133ec91c5abd1c83f834de2fab,Home Assistant Core,Home Assistant,Home Assistant Core,,,[],
19b8cf0d6b17c10ccc3e64991efdafb0,Home Assistant Host,Home Assistant,Home Assistant Host,,,[],
